fecha,año,mes,dia,hospitalizados_totales,hospitalizados_totales_cdmx,hospitalizados_totales_edomex,camas_intubados_totales,camas_intubados_cdmx,camas_intubados_edomex
2021-10-19,2021,octubre,19,981,699,282,386,324,62
2021-10-20,2021,octubre,20,946,677,269,375,316,59
2021-10-21,2021,octubre,21,893,638,255,359,300,59
2021-10-22,2021,octubre,22,863,621,242,352,292,60
2021-10-23,2021,octubre,23,841,602,239,342,281,61
2021-10-24,2021,octubre,24,829,581,248,330,274,56
2021-10-25,2021,octubre,25,782,561,221,316,264,52
2021-10-26,2021,octubre,26,744,524,220,297,250,47
2021-10-27,2021,octubre,27,712,508,204,293,249,44
2021-10-28,2021,octubre,28,703,498,205,286,245,41
2021-10-30,2021,octubre,30,682,482,200,280,244,36
2021-10-31,2021,octubre,31,661,469,192,267,232,35
2021-11-01,2021,noviembre,1,640,457,183,264,231,33
2021-11-02,2021,noviembre,2,628,449,179,267,231,36
2021-11-03,2021,noviembre,3,609,440,169,271,234,37
2021-11-04,2021,noviembre,4,588,409,179,243,208,35
2021-11-05,2021,noviembre,5,566,387,179,234,201,33
2021-11-06,2021,noviembre,6,568,396,172,227,198,29
2021-11-07,2021,noviembre,7,543,378,165,229,193,36
2021-11-09,2021,noviembre,9,519,354,165,227,188,39
2021-11-10,2021,noviembre,10,515,358,157,222,184,38
2021-11-11,2021,noviembre,11,522,367,155,220,181,39
2021-11-12,2021,noviembre,12,497,357,140,210,173,37
2021-11-13,2021,noviembre,13,494,352,142,214,179,35
2021-11-14,2021,noviembre,14,487,355,132,200,167,33
2021-11-15,2021,noviembre,15,509,368,141,201,169,32
2021-11-16,2021,noviembre,16,511,366,145,203,173,30
2021-11-17,2021,noviembre,17,501,366,135,195,170,25
2021-11-18,2021,noviembre,18,491,350,141,192,164,28
2021-11-19,2021,noviembre,19,479,345,134,195,160,35
2021-11-20,2021,noviembre,20,453,328,125,177,144,33
2021-11-21,2021,noviembre,21,459,328,131,181,146,35
2021-11-22,2021,noviembre,22,489,344,145,192,142,50
2021-11-24,2021,noviembre,24,495,349,146,188,157,31
2021-11-25,2021,noviembre,25,479,338,141,183,152,31
2021-11-26,2021,noviembre,26,468,328,140,185,153,32
2021-11-27,2021,noviembre,27,451,321,130,184,149,35
2021-11-28,2021,noviembre,28,436,308,128,181,146,35
2021-11-30,2021,noviembre,30,428,298,130,169,137,32
2021-12-01,2021,diciembre,1,419,296,123,161,130,31
2021-12-02,2021,diciembre,2,401,284,117,155,120,35
2021-12-04,2021,diciembre,4,395,283,112,151,124,27
2021-12-05,2021,diciembre,5,386,274,112,152,127,25
2021-12-06,2021,diciembre,6,412,286,126,158,128,30
2021-12-07,2021,diciembre,7,395,278,117,151,123,28
2021-12-08,2021,diciembre,8,387,273,114,145,115,30
2021-12-09,2021,diciembre,9,380,269,111,143,114,29
2021-12-10,2021,diciembre,10,367,258,109,142,116,26
2021-12-12,2021,diciembre,12,353,250,103,140,116,24
2021-12-13,2021,diciembre,13,363,250,113,145,120,25
2021-12-14,2021,diciembre,14,361,250,111,143,119,24
2021-12-15,2021,diciembre,15,357,244,113,136,114,22
2021-12-16,2021,diciembre,16,354,242,112,134,108,26
2021-12-18,2021,diciembre,18,316,216,100,118,98,20
2021-12-19,2021,diciembre,19,320,219,101,119,99,20
2021-12-20,2021,diciembre,20,307,209,98,111,94,17
2021-12-21,2021,diciembre,21,302,207,95,107,88,19
2021-12-22,2021,diciembre,22,308,221,87,111,93,18
2021-12-23,2021,diciembre,23,292,200,92,103,87,16
2021-12-24,2021,diciembre,24,291,204,87,103,85,18
2021-12-25,2021,diciembre,25,276,209,67,100,87,13
2021-12-26,2021,diciembre,26,281,223,58,104,92,12
2021-12-27,2021,diciembre,27,319,244,75,115,101,14
2021-12-28,2021,diciembre,28,324,233,91,109,92,17
2021-12-29,2021,diciembre,29,316,230,86,101,88,13
2021-12-30,2021,diciembre,30,309,226,83,116,99,17
2021-12-31,2021,diciembre,31,308,228,80,112,93,19
2022-01-01,2022,enero,1,312,230,82,104,88,16
2022-01-02,2022,enero,2,334,241,93,108,90,18
2022-01-03,2022,enero,3,389,293,96,123,103,20
2022-01-04,2022,enero,4,436,321,115,115,99,16
2022-01-05,2022,enero,5,464,360,104,112,99,13
2022-01-06,2022,enero,6,525,409,116,115,103,12
2022-01-07,2022,enero,7,598,461,137,122,109,13
2022-01-08,2022,enero,8,630,495,135,130,118,12
2022-01-09,2022,enero,9,671,520,151,151,136,15
2022-01-10,2022,enero,10,762,600,162,168,153,15
2022-01-12,2022,enero,12,930,731,199,193,171,22
2022-01-13,2022,enero,13,1062,831,231,205,179,26
2022-01-14,2022,enero,14,1200,930,270,235,202,33
2022-01-15,2022,enero,15,1291,990,301,241,203,38
2022-01-16,2022,enero,16,1351,1028,323,247,207,40
2022-01-17,2022,enero,17,1521,1163,358,282,237,45
2022-01-18,2022,enero,18,1683,1265,418,308,249,59
2022-01-19,2022,enero,19,1897,1401,496,340,283,57
2022-01-20,2022,enero,20,2049,1514,535,387,320,67
2022-01-21,2022,enero,21,2092,1524,568,399,329,70
2022-01-22,2022,enero,22,2182,1584,598,424,350,74
2022-01-23,2022,enero,23,2312,1657,655,452,368,84
2022-01-24,2022,enero,24,2456,1749,707,501,407,94
2022-01-25,2022,enero,25,2598,1817,781,527,426,101
2022-01-26,2022,enero,26,2646,1843,803,525,424,101
2022-01-27,2022,enero,27,2695,1856,839,545,427,118
2022-01-29,2022,enero,29,2783,1940,843,578,467,111
2022-01-30,2022,enero,30,2800,1943,857,567,453,114
2022-01-31,2022,enero,31,2754,1897,857,580,456,124
2022-02-01,2022,febrero,1,2756,1856,900,557,438,119
2022-02-02,2022,febrero,2,2684,1838,846,564,441,123
2022-02-03,2022,febrero,3,2613,1766,847,586,450,136
2022-02-04,2022,febrero,4,2526,1720,806,581,453,128
2022-02-06,2022,febrero,6,2338,1602,736,564,437,127
2022-02-07,2022,febrero,7,2309,1593,716,574,447,127
2022-02-08,2022,febrero,8,2277,1557,720,569,441,128
